"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.719885613E1,3.676354980E-1,1.023017624E1,1.754351807E-1
2.720890712E1,1.078207855E0,9.773625641E0,2.110610962E-1
2.721895712E1,1.461710358E0,9.290580139E0,3.585044861E-1
2.722900812E1,1.595232697E0,8.959319000E0,4.736151123E-1
2.723905812E1,1.396146698E0,8.768765259E0,4.568499756E-1
2.724910912E1,8.746311951E-1,8.672814789E0,3.746708679E-1
2.725915912E1,2.643502808E-1,8.701105957E0,2.291734314E-1
2.726921012E1,-2.466870117E-1,8.731492767E0,1.721420288E-2
2.727926012E1,-6.152206421E-1,8.699160004E0,-9.639953613E-2
2.728931112E1,-8.414002991E-1,8.663983154E0,-1.710942078E-1
2.729936112E1,-1.120869141E0,8.712631989E0,-5.255570984E-1
2.730941212E1,-1.317709808E0,8.921896820E0,-8.192463684E-1
2.731946212E1,-1.415905609E0,9.306297455E0,-1.072968750E0
2.732951313E1,-1.556313629E0,9.634864197E0,-1.395997009E0
2.733956312E1,-1.662442932E0,9.838291168E0,-1.556313629E0
2.734961412E1,-1.649569702E0,9.912237396E0,-1.589993591E0
2.735966412E1,-1.458417206E0,9.877060547E0,-1.770817566E0
2.736971512E1,-1.183588715E0,9.679022369E0,-2.081421661E0
2.737976512E1,-9.906399536E-1,9.490863647E0,-2.410437469E0
2.738981612E1,-8.608598328E-1,9.323960724E0,-2.655328217E0
2.739986612E1,-8.458909607E-1,9.120384064E0,-2.959645386E0
2.740991712E1,-8.792715454E-1,8.880732422E0,-3.325185242E0
2.741996712E1,-9.836045837E-1,8.609795837E0,-3.627107391E0
2.743001812E1,-1.067430267E0,8.387358398E0,-3.914659424E0
2.744006812E1,-1.084644470E0,8.198451233E0,-4.058809662E0
2.745011912E1,-9.493258667E-1,8.019124146E0,-4.083957367E0
2.746016983E1,-7.610174561E-1,7.800728302E0,-4.002676392E0
2.747022083E1,-5.837860107E-1,7.524552612E0,-3.840413818E0
2.748027083E1,-5.469625854E-1,7.244634705E0,-3.775149536E0
2.749032183E1,-5.408253479E-1,7.087910614E0,-3.695814514E0
2.750037183E1,-4.652325439E-1,7.028184814E0,-3.709585876E0
2.751042283E1,-3.809577942E-1,7.032974854E0,-3.864364014E0
2.752047283E1,-2.965333557E-1,7.023245087E0,-4.168531494E0
2.753052383E1,-3.113525391E-1,7.052135010E0,-4.495601349E0
2.754057383E1,-3.963757324E-1,7.211553497E0,-4.738995209E0
2.755062483E1,-4.659809875E-1,7.541916504E0,-4.846172333E0
2.756067483E1,-4.677772522E-1,7.895780640E0,-4.845274200E0
2.757072583E1,-3.725752258E-1,8.183332672E0,-4.887486420E0
2.758077583E1,-2.412982178E-1,8.349487152E0,-4.980892181E0
2.759082683E1,-1.559756470E-1,8.460855560E0,-4.984484711E0
2.760087683E1,-1.193019104E-1,8.720864868E0,-4.841831360E0
2.761092783E1,-3.237767029E-1,9.150770874E0,-4.548591156E0
2.762097783E1,-4.002676392E-1,9.644893341E0,-4.264332275E0
2.763102883E1,-2.284249878E-1,9.796378326E0,-3.850592651E0
2.764107883E1,-2.043251038E-1,9.025032349E0,-3.137625275E0
2.765112983E1,-5.942642212E-1,7.763605499E0,-2.231260071E0
2.766117983E1,-7.295828247E-1,6.834038544E0,-1.519190826E0
2.767123083E1,-4.076023865E-1,6.738686829E0,-1.412762146E0
2.768128083E1,-4.086502075E-2,7.465275879E0,-1.617985382E0
2.769133183E1,-1.919009399E-1,8.689579926E0,-2.029629364E0
2.770138183E1,-1.081800385E0,1.096035782E1,-2.552641754E0
2.771143283E1,-2.349813538E0,1.423689423E1,-3.081192627E0
2.772148283E1,-3.367547150E0,1.685973999E1,-3.362008667E0
2.773153383E1,-3.112028503E0,1.618554199E1,-3.209475861E0
2.774158383E1,-1.847308502E0,1.251068390E1,-2.261347504E0
2.775163483E1,-2.701881409E-1,9.801318054E0,-1.353635101E0
2.776168483E1,1.082997894E0,8.553063812E0,-1.078058167E0
2.777173583E1,1.229692841E0,8.210875397E0,-9.975256348E-1
2.778178583E1,4.308041382E-1,8.161328430E0,-8.099656677E-1
2.779183683E1,-7.622149658E-1,8.293503571E0,-5.137316895E-1
2.780188783E1,-1.916165314E0,8.607700195E0,-1.019380188E-1
2.781193783E1,-2.649939423E0,9.039851532E0,2.772235107E-1
2.782198883E1,-3.050506439E0,9.289083252E0,2.040257263E-1
2.783203883E1,-3.340603180E0,9.308991852E0,7.694000244E-2
2.784208883E1,-3.488944702E0,9.203610992E0,-1.839674377E-1
2.785213983E1,-3.470532990E0,9.031319275E0,-6.590794373E-1
2.786219083E1,-3.187471619E0,9.065747681E0,-1.022823029E0
2.787224083E1,-2.482737122E0,9.275760956E0,-1.361119537E0
2.788229183E1,-1.686093750E0,9.508377228E0,-1.704355774E0
2.789234183E1,-1.202449493E0,9.687255249E0,-2.053280182E0
2.790239283E1,-1.075214081E0,9.809850311E0,-2.151775360E0
2.791244283E1,-1.474134521E0,9.865684204E0,-2.175575867E0
2.792249383E1,-2.092498627E0,9.963430939E0,-2.020198975E0
2.793254383E1,-2.720891876E0,1.006970993E1,-1.847757568E0
2.794259483E1,-3.214714966E0,1.002495300E1,-1.696422272E0
2.795264483E1,-3.675905914E0,9.917925568E0,-1.526226196E0
2.796269583E1,-3.842359772E0,9.794582062E0,-1.238075409E0
2.797274583E1,-3.625909882E0,9.587712250E0,-9.157955933E-1
2.798279683E1,-3.117716675E0,9.256451111E0,-6.725514221E-1
2.799284683E1,-2.481389923E0,8.724158020E0,-5.851332092E-1
2.800289783E1,-1.989363098E0,8.245004425E0,-7.334747314E-1
2.801294783E1,-1.653012543E0,8.137378235E0,-9.369017029E-1
2.802299883E1,-1.531016235E0,8.323441315E0,-1.238674164E0
2.803304883E1,-1.642234955E0,8.572673035E0,-1.554068298E0
2.804309983E1,-1.946402435E0,8.691675568E0,-1.902843018E0
2.805314983E1,-2.135159912E0,8.708291016E0,-2.334694977E0
2.806320083E1,-2.023342438E0,8.788673859E0,-2.652184753E0
2.807325083E1,-1.759740601E0,8.780590668E0,-2.888543243E0
2.808330183E1,-1.595831451E0,8.662785645E0,-3.189267883E0
2.809335183E1,-1.760788422E0,8.404273224E0,-3.463048553E0
2.810340283E1,-2.183060303E0,8.179141388E0,-3.686533813E0
2.811345283E1,-2.622396698E0,8.047415314E0,-3.860322418E0
2.812350383E1,-2.983445892E0,8.027806091E0,-4.135899353E0
2.813355383E1,-3.334465942E0,8.177494812E0,-4.365372162E0
2.814360483E1,-3.742068329E0,8.299940186E0,-4.306544495E0
2.815365483E1,-4.061054993E0,8.375832367E0,-4.023632812E0
2.816370583E1,-4.337829437E0,8.548124084E0,-3.537892914E0
2.817375583E1,-4.412973175E0,8.559201050E0,-2.969375153E0
2.818380683E1,-4.525838470E0,8.040978699E0,-2.352807312E0
2.819385683E1,-4.797074432E0,7.942633209E0,-1.445993042E0
2.820390783E1,-4.961282959E0,9.623038788E0,-7.469467163E-2
2.821395783E1,-4.508773956E0,1.274060577E1,6.893165588E-1
2.822400883E1,-3.080444183E0,1.590382782E1,2.065704346E-2
2.823405883E1,-1.642534332E0,1.682905380E1,-1.103505249E0
2.824410983E1,-8.894503784E-1,1.477143265E1,-2.120041351E0
2.825415983E1,-1.190923462E0,1.179741714E1,-2.878963165E0
2.826421083E1,-1.699565735E0,1.040980270E1,-2.732417908E0
2.827426083E1,-1.626667328E0,1.120315292E1,-1.557660828E0
2.828431183E1,-1.686542816E0,1.203437439E1,-4.302053833E-1
2.829436183E1,-1.990410919E0,1.230082031E1,5.977070618E-1
2.830441283E1,-1.986968079E0,1.231758545E1,1.697320404E0
2.831446283E1,-1.670975189E0,1.199994598E1,2.251617737E0
2.832451383E1,-9.970765686E-1,1.151390671E1,1.995949402E0
2.833456383E1,-1.401086426E-1,1.092952194E1,1.233584747E0
2.834461483E1,4.070036316E-1,1.027223877E1,3.112028503E-1
2.835466483E1,5.373825073E-1,9.692494354E0,-3.652404785E-1
2.836471583E1,5.080435181E-1,9.311985626E0,-5.743556213E-1
2.837476583E1,6.345304871E-1,9.223519592E0,-4.174818420E-1
2.838481683E1,7.518864441E-1,9.293124847E0,-3.974235535E-1
2.839486683E1,8.544232178E-1,9.382189636E0,-4.201762390E-1
2.840491783E1,9.279203796E-1,9.447902985E0,-3.112028503E-1
2.841496783E1,8.668473816E-1,9.395960999E0,-2.769241333E-1
2.842501883E1,5.590873718E-1,9.288484497E0,-4.978646851E-1
2.843506883E1,5.074447632E-2,9.237290955E0,-8.394543457E-1
2.844511983E1,-5.128335571E-1,9.399104462E0,-1.130898285E0
2.845516958E1,-9.843530273E-1,9.744885406E0,-1.319655762E0
2.846522058E1,-1.238973541E0,1.006177643E1,-1.441801758E0
2.847527058E1,-1.199306030E0,1.012240036E1,-1.521286469E0
2.848532158E1,-9.767189026E-1,9.897717590E0,-1.608105927E0
2.849537158E1,-7.777825928E-1,9.471553802E0,-1.640887756E0
2.850542258E1,-6.456074524E-1,8.987759857E0,-1.619182892E0
2.851547258E1,-6.283932495E-1,8.673114166E0,-1.596280518E0
2.852552358E1,-6.105802917E-1,8.494385834E0,-1.575623474E0
